dataset,pct_missing,method,column,sum_rel_err,error_rate
medium,3,hot_deck,ФИО,,0.9976689976689976
medium,3,hot_deck,Страна,,0.6916666666666667
medium,3,hot_deck,Паспортые данные,,1.0
medium,3,hot_deck,СНИЛС,,1.0
medium,3,hot_deck,Номер карты,,1.0
medium,3,hot_deck,Банк,,0.5695067264573991
medium,3,hot_deck,Платежная система,,0.5805785123966942
medium,3,hot_deck,Симптомы,,0.9475982532751092
medium,3,hot_deck,Врач,,0.9827586206896551
medium,3,hot_deck,Дата посещения врача,,1.0
medium,3,hot_deck,Анализы,,0.9503386004514672
medium,3,hot_deck,Дата получения анализов,,1.0
medium,3,hot_deck,Цена приёма (руб),252.66011208017937,
medium,3,hot_deck,TOTAL,252.66011208017937,
medium,3,locf,ФИО,,1.0
medium,3,locf,Страна,,0.6921397379912664
medium,3,locf,Паспортые данные,,1.0
medium,3,locf,СНИЛС,,1.0
medium,3,locf,Номер карты,,1.0
medium,3,locf,Банк,,0.5517241379310345
medium,3,locf,Платежная система,,0.6063829787234043
medium,3,locf,Симптомы,,0.9977628635346756
medium,3,locf,Врач,,0.9820224719101124
medium,3,locf,Дата посещения врача,,1.0
medium,3,locf,Анализы,,0.9953810623556582
medium,3,locf,Дата получения анализов,,1.0
medium,3,locf,Цена приёма (руб),207.209381402026,
medium,3,locf,TOTAL,207.209381402026,
medium,5,hot_deck,ФИО,,1.0
medium,5,hot_deck,Страна,,0.68
medium,5,hot_deck,Паспортые данные,,0.9986301369863013
medium,5,hot_deck,СНИЛС,,1.0
medium,5,hot_deck,Номер карты,,1.0
medium,5,hot_deck,Банк,,0.5645371577574967
medium,5,hot_deck,Платежная система,,0.5835509138381201
medium,5,hot_deck,Симптомы,,0.95
medium,5,hot_deck,Врач,,0.9840425531914894
medium,5,hot_deck,Дата посещения врача,,1.0
medium,5,hot_deck,Анализы,,0.9501965923984272
medium,5,hot_deck,Дата получения анализов,,1.0
medium,5,hot_deck,Цена приёма (руб),429.23692606714496,
medium,5,hot_deck,TOTAL,429.23692606714496,
medium,5,locf,ФИО,,1.0
medium,5,locf,Страна,,0.6680272108843538
medium,5,locf,Паспортые данные,,1.0
medium,5,locf,СНИЛС,,1.0
medium,5,locf,Номер карты,,1.0
medium,5,locf,Банк,,0.5714285714285714
medium,5,locf,Платежная система,,0.6060191518467852
medium,5,locf,Симптомы,,0.9957567185289957
medium,5,locf,Врач,,0.9831932773109243
medium,5,locf,Дата посещения врача,,1.0
medium,5,locf,Анализы,,0.9945054945054945
medium,5,locf,Дата получения анализов,,1.0
medium,5,locf,Цена приёма (руб),395.1222385987202,
medium,5,locf,TOTAL,395.1222385987202,
medium,10,hot_deck,ФИО,,0.9993074792243767
medium,10,hot_deck,Страна,,0.6680161943319838
medium,10,hot_deck,Паспортые данные,,0.998681608437706
medium,10,hot_deck,СНИЛС,,1.0
medium,10,hot_deck,Номер карты,,0.9993197278911564
medium,10,hot_deck,Банк,,0.5691489361702128
medium,10,hot_deck,Платежная система,,0.621418826739427
medium,10,hot_deck,Симптомы,,0.952191235059761
medium,10,hot_deck,Врач,,0.9799062290689886
medium,10,hot_deck,Дата посещения врача,,1.0
medium,10,hot_deck,Анализы,,0.9650395778364116
medium,10,hot_deck,Дата получения анализов,,1.0
medium,10,hot_deck,Цена приёма (руб),918.573585277659,
medium,10,hot_deck,TOTAL,918.573585277659,
medium,10,locf,ФИО,,1.0
medium,10,locf,Страна,,0.667167543200601
medium,10,locf,Паспортые данные,,1.0
medium,10,locf,СНИЛС,,1.0
medium,10,locf,Номер карты,,0.9992537313432835
medium,10,locf,Банк,,0.5538461538461539
medium,10,locf,Платежная система,,0.6136534133533383
medium,10,locf,Симптомы,,0.9992721979621543
medium,10,locf,Врач,,0.9845132743362832
medium,10,locf,Дата посещения врача,,1.0
medium,10,locf,Анализы,,0.9956172388604821
medium,10,locf,Дата получения анализов,,1.0
medium,10,locf,Цена приёма (руб),803.0322053972116,
medium,10,locf,TOTAL,803.0322053972116,
medium,20,hot_deck,ФИО,,0.9996682149966821
medium,20,hot_deck,Страна,,0.6673462453278967
medium,20,hot_deck,Паспортые данные,,1.0
medium,20,hot_deck,СНИЛС,,1.0
medium,20,hot_deck,Номер карты,,1.0
medium,20,hot_deck,Банк,,0.5985844287158746
medium,20,hot_deck,Платежная система,,0.6122100954979536
medium,20,hot_deck,Симптомы,,0.9591702337833388
medium,20,hot_deck,Врач,,0.9819435325016415
medium,20,hot_deck,Дата посещения врача,,1.0
medium,20,hot_deck,Анализы,,0.9707169303264894
medium,20,hot_deck,Дата получения анализов,,1.0
medium,20,hot_deck,Цена приёма (руб),1877.5127315014392,
medium,20,hot_deck,TOTAL,1877.5127315014392,
medium,20,locf,ФИО,,1.0
medium,20,locf,Страна,,0.6631534569983136
medium,20,locf,Паспортые данные,,0.9995835068721366
medium,20,locf,СНИЛС,,0.9995845450768591
medium,20,locf,Номер карты,,0.9995787700084247
medium,20,locf,Банк,,0.6125699526474386
medium,20,locf,Платежная система,,0.6404353285893679
medium,20,locf,Симптомы,,0.996734693877551
medium,20,locf,Врач,,0.9774959083469722
medium,20,locf,Дата посещения врача,,1.0
medium,20,locf,Анализы,,0.9965738758029978
medium,20,locf,Дата получения анализов,,1.0
medium,20,locf,Цена приёма (руб),1413.3644269539272,
medium,20,locf,TOTAL,1413.3644269539272,
medium,30,hot_deck,ФИО,,0.999115631218218
medium,30,hot_deck,Страна,,0.6606620130601216
medium,30,hot_deck,Паспортые данные,,0.9995563442768411
medium,30,hot_deck,СНИЛС,,0.9995554567681707
medium,30,hot_deck,Номер карты,,0.999546485260771
medium,30,hot_deck,Банк,,0.5862068965517241
medium,30,hot_deck,Платежная система,,0.6163210099188458
medium,30,hot_deck,Симптомы,,0.9632173720363395
medium,30,hot_deck,Врач,,0.9804921303480382
medium,30,hot_deck,Дата посещения врача,,1.0
medium,30,hot_deck,Анализы,,0.9765054744525548
medium,30,hot_deck,Дата получения анализов,,1.0
medium,30,hot_deck,Цена приёма (руб),2859.9697298555775,
medium,30,hot_deck,TOTAL,2859.9697298555775,
medium,30,locf,ФИО,,1.0
medium,30,locf,Страна,,0.6917654597885293
medium,30,locf,Паспортые данные,,1.0
medium,30,locf,СНИЛС,,1.0
medium,30,locf,Номер карты,,1.0
medium,30,locf,Банк,,0.59168
medium,30,locf,Платежная система,,0.653870761356366
medium,30,locf,Симптомы,,0.9981072555205047
medium,30,locf,Врач,,0.9806656101426308
medium,30,locf,Дата посещения врача,,1.0
medium,30,locf,Анализы,,0.9947420308905686
medium,30,locf,Дата получения анализов,,1.0
medium,30,locf,Цена приёма (руб),1808.8515066989708,
medium,30,locf,TOTAL,1808.8515066989708,
